apartment,price,floor,area,dong,deal_date
주공아파트 5단지,243800,14,,잠실동,2024-01-30
송파더센트레,87800,6,,장지동,2024-01-29
래미안파크팰리스,163000,13,,가락동,2024-01-29
올림픽선수기자촌2단지,186000,17,,방이동,2024-01-24
올림픽훼밀리타운,208000,6,,문정동,2024-01-31
헬리오시티,207000,15,,가락동,2024-01-29
한양3,156000,1,,방이동,2024-01-27
거여1단지,82500,1,,거여동,2024-01-31
위례24단지(꿈에그린),108000,1,,장지동,2024-01-25
파크리오,261500,13,,신천동,2024-01-20
갤러리아팰리스,320000,15,,잠실동,2024-01-26
갤러리아팰리스,530000,45,,잠실동,2024-01-26
헬리오시티,246000,27,,가락동,2024-01-25
올림픽선수기자촌1단지,200000,11,,방이동,2024-01-20
장미2,170000,10,,신천동,2024-01-23
아키스,49200,3,,오금동,2024-01-27
올림픽선수기자촌2단지,256000,3,,방이동,2024-01-25
동성아파트(103동),62000,7,,가락동,2024-01-30
올림픽훼밀리타운,206500,11,,문정동,2024-01-24
가락(1차)쌍용아파트,135500,16,,가락동,2024-01-27
올림픽선수기자촌2단지,199500,14,,방이동,2024-01-23
주공아파트 5단지,231800,3,,잠실동,2024-01-31
쌍용스윗닷홈2차,103000,4,,거여동,2024-01-16
대림,121000,14,,가락동,2024-01-27
현대,94000,16,,송파동,2024-01-27
장미1,169000,11,,신천동,2024-01-27
송파더센트레,91000,8,,장지동,2024-01-26
가락(1차)쌍용아파트,111000,11,,가락동,2024-01-27
올림픽훼밀리타운,230000,12,,문정동,2024-01-17
한강극동,109000,14,,풍납동,2024-01-25
헬리오시티,142000,16,,가락동,2024-01-27
현대(2-4차),207000,12,,오금동,2024-01-21
리센츠,92000,9,,잠실동,2024-01-31
잠실올림픽공원아이파크,163000,3,,풍납동,2024-01-19
위례24단지(꿈에그린),114800,17,,장지동,2024-01-22
송파호반베르디움더퍼스트,115000,2,,오금동,2024-01-22
문정래미안,155000,11,,문정동,2024-01-19
헬리오시티,196000,16,,가락동,2024-01-20
리센츠,92500,13,,잠실동,2024-01-19
현대1,120000,12,,풍납동,2024-01-18
