apartment,dong,price,area,floor,bonbeon,bubeon,region
벽적골9단지주공,영통동,"60,000",,7,970-3,0003,경기_수원영통구
광교호반베르디움트라엘,이의동,"126,500",,11,1229,0000,경기_수원영통구
센트럴하이츠,망포동,"85,400",,8,718,0000,경기_수원영통구
한국2,매탄동,"54,300",,3,1217,0000,경기_수원영통구
신나무실신성,영통동,"42,000",,19,963-2,0002,경기_수원영통구
영통아이파크캐슬2단지,망포동,"79,500",,2,760,0000,경기_수원영통구
영통에듀파크(321동~327동),영통동,"79,800",,3,957-6,0006,경기_수원영통구
신나무실신성,영통동,"44,300",,10,963-2,0002,경기_수원영통구
영통아이파크캐슬3단지,망포동,"73,000",,3,790,0000,경기_수원영통구
영통아이파크캐슬2단지,망포동,"84,000",,7,760,0000,경기_수원영통구
e편한세상영통2차(1단지),망포동,"58,600",,10,726,0000,경기_수원영통구
영통롯데캐슬엘클래스1단지,망포동,"93,500",,6,805,0000,경기_수원영통구
광교중흥에스클래스,원천동,"190,000",,47,589,0000,경기_수원영통구
주공그린빌3,매탄동,"49,700",,6,1277,0000,경기_수원영통구
청명마을(주공),영통동,"49,700",,9,1048-2,0002,경기_수원영통구
벽적골9단지주공,영통동,"57,000",,11,970-3,0003,경기_수원영통구
청명마을(주공),영통동,"51,000",,7,1048-2,0002,경기_수원영통구
망포벽산이빌리지,망포동,"41,000",,14,696,0000,경기_수원영통구
신나무실진흥,영통동,"43,000",,17,963-2,0002,경기_수원영통구
황골마을주공1,영통동,"50,800",,8,955-1,0001,경기_수원영통구
벽적골9단지주공,영통동,"63,500",,18,970-3,0003,경기_수원영통구
힐스테이트영통,망포동,"123,500",,4,728,0000,경기_수원영통구
황골마을한국,영통동,"37,000",,5,1054-3,0003,경기_수원영통구
벽적골9단지주공,영통동,"48,100",,8,970-3,0003,경기_수원영통구
매탄위브하늘채,매탄동,"75,000",,8,1352,0000,경기_수원영통구
벽적골롯데,영통동,"42,500",,3,971-1,0001,경기_수원영통구
쌍용스윗닷홈2차,망포동,"38,000",,5,702,0000,경기_수원영통구
망포마을쌍용1차,망포동,"67,800",,5,691,0000,경기_수원영통구
영통롯데캐슬엘클래스1단지,망포동,"85,700",,5,805,0000,경기_수원영통구
망포쌍용에듀파크,망포동,"41,100",,11,700,0000,경기_수원영통구
황골마을(쌍용),영통동,"37,000",,2,1052-2,0002,경기_수원영통구
영흥숲푸르지오파크비엔,원천동,"131,500",,9,628,0000,경기_수원영통구
임광,매탄동,"42,500",,12,1162,0000,경기_수원영통구
벽적골주공휴먼시아8단지,영통동,"36,500",,1,972-2,0002,경기_수원영통구
벽적골롯데,영통동,"59,500",,10,971-1,0001,경기_수원영통구
벽적골9단지주공,영통동,"55,000",,12,970-3,0003,경기_수원영통구
벽산(1053-2),영통동,"47,620",,2,1053-2,0002,경기_수원영통구
광교역참누리포레스트,이의동,"73,300",,5,1252,0000,경기_수원영통구
센트럴하이츠,망포동,"86,250",,4,718,0000,경기_수원영통구
대우월드마크,영통동,"82,500",,34,996-3,0003,경기_수원영통구
성일,매탄동,"19,000",,13,810-4,0004,경기_수원영통구
벽적골롯데,영통동,"31,500",,9,971-1,0001,경기_수원영통구
영통롯데캐슬엘클래스1단지,망포동,"90,000",,12,805,0000,경기_수원영통구
벽적골주공휴먼시아8단지,영통동,"32,500",,6,972-2,0002,경기_수원영통구
망포현대2아이파크,망포동,"63,000",,19,683,0000,경기_수원영통구
황골마을(쌍용),영통동,"41,000",,4,1052-2,0002,경기_수원영통구
신나무실진흥,영통동,"43,000",,15,963-2,0002,경기_수원영통구
황골마을한국,영통동,"38,000",,13,1054-3,0003,경기_수원영통구
동수원자이1차,망포동,"64,000",,17,686,0000,경기_수원영통구
광교호반베르디움트라엘,이의동,"106,000",,1,1229,0000,경기_수원영통구
e편한세상영통2차(2단지),망포동,"58,000",,17,727,0000,경기_수원영통구
광교아이파크,원천동,"149,000",,25,593,0000,경기_수원영통구
영통아이파크캐슬1단지,망포동,"91,500",,7,766,0000,경기_수원영통구
그대가프리미어,망포동,"113,000",,19,720,0000,경기_수원영통구
청명마을(주공),영통동,"51,000",,2,1048-2,0002,경기_수원영통구
한양수자인,망포동,"81,000",,2,723,0000,경기_수원영통구
벽적골롯데,영통동,"45,700",,15,971-1,0001,경기_수원영통구
신나무실휴먼시아5단지,영통동,"39,400",,13,964-5,0005,경기_수원영통구
건영1차,영통동,"84,000",,4,1047-1,0001,경기_수원영통구
e편한세상영통2차(1단지),망포동,"64,800",,6,726,0000,경기_수원영통구
SummitPlace광교,이의동,"188,000",,15,1332,0000,경기_수원영통구
한양수자인,망포동,"97,500",,8,723,0000,경기_수원영통구
매탄위브하늘채,매탄동,"78,500",,21,1352,0000,경기_수원영통구
영통아이파크캐슬1단지,망포동,"96,000",,21,766,0000,경기_수원영통구
광교2차e편한세상,이의동,"108,000",,6,1200,0000,경기_수원영통구
황골마을주공1,영통동,"48,000",,12,955-1,0001,경기_수원영통구
삼성,영통동,"62,000",,6,969-1,0001,경기_수원영통구
동수원자이2차,망포동,"65,200",,14,690,0000,경기_수원영통구
황골마을주공1,영통동,"50,900",,12,955-1,0001,경기_수원영통구
주공,원천동,"37,000",,12,35,0000,경기_수원영통구
신나무실쌍용,영통동,"42,500",,15,963-2,0002,경기_수원영통구
삼정라츠,망포동,"40,000",,3,717,0000,경기_수원영통구
삼성,영통동,"57,800",,5,969-1,0001,경기_수원영통구
e-편한세상,매탄동,"84,000",,13,1209,0000,경기_수원영통구
한양수자인,망포동,"75,500",,18,723,0000,경기_수원영통구
벽적골한신,영통동,"53,000",,14,973-3,0003,경기_수원영통구
주공,원천동,"28,300",,12,35,0000,경기_수원영통구
삼성1,매탄동,"36,200",,14,810-3,0003,경기_수원영통구
영통센트럴파크뷰,영통동,"50,000",,6,948-4,0004,경기_수원영통구
영통에듀파크(321동~327동),영통동,"81,000",,18,957-6,0006,경기_수원영통구
신나무실신성,영통동,"44,750",,9,963-2,0002,경기_수원영통구
황골마을주공1,영통동,"52,000",,7,955-1,0001,경기_수원영통구
광교 해모로 아파트,이의동,"75,000",,10,1226,0000,경기_수원영통구
신나무실쌍용,영통동,"39,000",,7,963-2,0002,경기_수원영통구
신나무실풍림,영통동,"78,000",,18,967-2,0002,경기_수원영통구
벽적골한신,영통동,"47,500",,14,973-3,0003,경기_수원영통구
황골마을주공1,영통동,"48,500",,18,955-1,0001,경기_수원영통구
삼성1,원천동,"23,000",,14,333-3,0003,경기_수원영통구
벽적골9단지주공,영통동,"54,700",,16,970-3,0003,경기_수원영통구
벽적골롯데,영통동,"41,500",,2,971-1,0001,경기_수원영통구
황골마을주공1,영통동,"40,000",,1,955-1,0001,경기_수원영통구
황골마을주공1,영통동,"46,000",,10,955-1,0001,경기_수원영통구
