apt_name,city,deal_amount,exclusive_area,floor,deal_year,deal_month,deal_day,build_year,regional_code,cancel_date,is_cancelled
늘푸른벽산,망포동,"40,600",,3,2026,4,8,2000,41117, ,True
광교역참누리포레스트,이의동,"74,000",,7,2026,4,6,2015,41117, ,True
황골마을주공1,영통동,"37,900",,13,2026,4,3,1997,41117, ,True
망포마을쌍용1차,망포동,"58,000",,13,2026,4,3,2002,41117, ,True
영통아이파크,영통동,"43,750",,6,2026,4,8,2006,41117, ,True
벽적골주공휴먼시아8단지,영통동,"30,000",,12,2026,4,8,1997,41117, ,True
청명마을(주공),영통동,"55,000",,16,2026,4,8,1997,41117, ,True
임광,매탄동,"54,500",,10,2026,4,3,1990,41117, ,True
힐스테이트광교,하동,"158,000",,34,2026,4,3,2018,41117, ,True
벽적골9단지주공,영통동,"60,000",,7,2026,4,8,1999,41117, ,True
광교호반베르디움트라엘,이의동,"126,500",,11,2026,4,7,2017,41117, ,True
센트럴하이츠,망포동,"85,400",,8,2026,4,8,2010,41117, ,True
한국2,매탄동,"54,300",,3,2026,4,1,1993,41117, ,True
신나무실신성,영통동,"42,000",,19,2026,4,7,1997,41117, ,True
영통아이파크캐슬2단지,망포동,"79,500",,2,2026,4,7,2019,41117, ,True
영통에듀파크(321동~327동),영통동,"79,800",,3,2026,4,7,1997,41117, ,True
신나무실신성,영통동,"44,300",,10,2026,4,7,1997,41117, ,True
영통아이파크캐슬3단지,망포동,"73,000",,3,2026,4,7,2022,41117, ,True
영통아이파크캐슬2단지,망포동,"84,000",,7,2026,4,7,2019,41117, ,True
e편한세상영통2차(1단지),망포동,"58,600",,10,2026,4,7,2016,41117, ,True
영통롯데캐슬엘클래스1단지,망포동,"93,500",,6,2026,4,7,2022,41117, ,True
광교중흥에스클래스,원천동,"190,000",,47,2026,4,2,2019,41117, ,True
주공그린빌3,매탄동,"49,700",,6,2026,4,4,2002,41117, ,True
청명마을(주공),영통동,"49,700",,9,2026,4,7,1997,41117, ,True
벽적골9단지주공,영통동,"57,000",,11,2026,4,7,1999,41117, ,True
청명마을(주공),영통동,"51,000",,7,2026,4,6,1997,41117, ,True
망포벽산이빌리지,망포동,"41,000",,14,2026,4,4,2002,41117, ,True
신나무실진흥,영통동,"43,000",,17,2026,4,7,1997,41117, ,True
황골마을주공1,영통동,"50,800",,8,2026,4,6,1997,41117, ,True
